"arrcod","arrnom","arrville","arrcode","arradr1","arradr2","arradr3","arradr4","arrcodp","arrtel","arrfax","arrcourriel","arrregion","arrmrc","arrhorsmrcautoch","arrcm","arrgentile","arradrinternet","arrdateconsti","arrdateproelec","president","directeur","con01","con02","con03","con04","con05","con06","con07","con08","con09","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75"
"REL01","Le Vieux-Longueuil","Longueuil","58227","300, rue Saint-Charles O.","Longueuil","C.P. 5000","Longueuil","J4H1E6","4504637311","4504637391","311@ville.longueuil.qc.ca","Montérégie (16)","","non","Communauté métropolitaine de Montréal (663)","Longueuillois, oise","www.longueuil.ca","2002-01-01","2029-11-04","Carl Lévesque","","Sylvain Larocque","Lyette Bouchard","Marc-Antoine Azouz","Jonathan Tabarah","Lysa Belaicha","Reine Bombo-Allara","Nicola Grenon","Marie-Michèle Drolet","Carl Lévesque","Frédéric Barbeau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REL03","Greenfield Park","Longueuil","58227","156, boulevard Churchill","Greenfield Park","156, boulevard Churchill","Greenfield Park","J4V2M3","4504637311","4504637319","311@ville.longueuil.qc.ca","Montérégie (16)","","non","Communauté métropolitaine de Montréal (663)","Longueuillois, oise","www.longueuil.ca","2002-01-01","2029-11-04","Sylvain Joly","","Sylvain Joly","Eric Normandin","Christopher Keays","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REL06","Saint-Hubert","Longueuil","58227","4250, chemin de la Savane","Longueuil","4250, chemin de la Savane","Longueuil","J3Y9G4","4504637100","4504637400","311@ville.longueuil.qc.ca","Montérégie (16)","","non","Communauté métropolitaine de Montréal (663)","Longueuillois, oise","www.longueuil.ca","2002-01-01","2029-11-04","Alvaro Cueto","","Sophie Paquette","Chrep Lok","Sylvain Lambert","Florent Sabourin-Lefebvre","Affine Lwalalika","Alvaro Cueto","Nathalie Delisle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM05","Outremont","Montréal","66023","543, chemin de la Côte-Sainte-Catherine","Outrement","543, chemin de la Côte-Sainte-Catherine","Montréal","H2V4R2","5144956280","5144956290","secretariat.outremont@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.outremont.ville.montreal.qc.ca","2002-01-01","2029-11-04","","","Georgia Haloulos","Mercedez Plante","Amélie Cliche","Maude Choko","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM09","Anjou","Montréal","66023","7701, boulevard Louis-H.-La Fontaine","Anjou","7701, boulevard Louis-H.-La Fontaine","Montréal","H1K4B9","5144938000","5144938009","anjou@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","https://montreal.ca/anjou","2002-01-01","2029-11-04","","","Andrée Hénault","Marie Josée Dubé","Richard Leblanc","Kristine Marsolais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM12","Verdun","Montréal","66023","4555, rue de Verdun","Verdun","4555, rue de Verdun","Montréal","H4G1M4","5147657018","          ","stephaniezhao.liu@montreal.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/verdun","2002-01-01","2029-11-04","","","Andréanne Moreau","André Julien","Michèle Tremblay","Sterling Downey","Stefana Lamasanu","Benoit Gratton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM14","Saint-Léonard","Montréal","66023","8400, boulevard Lacordaire","Saint-Léonard","8400, boulevard Lacordaire","Montréal","H1R3B1","5143288500","5143288416","sbeaudoin@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/st-leonard","2002-01-01","2029-11-04","","","Arij El Korbi","Linda Paquin","Mauro Barone","Gemma Marchione","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM15","Saint-Laurent","Montréal","66023","777, boulevard Marcel-Laurin","Saint-Laurent","777, boulevard Marcel-Laurin","Montréal","H4M2M7","5148556000","5148556049","saint-laurent@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/saint-laurent","2002-01-01","2029-11-04","","Isabelle Bastien","Vana Nazarian","Jacques Cohen","Aref Salem","Annie Gagnier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM16","Montréal-Nord","Montréal","66023","4243, rue Charleroi","Montréal-Nord","4243, rue Charleroi","Montréal-Nord","H1H5R5","5143284000","5143284282","rachel.laperriere@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","mtlnord.ville.montreal.qc.ca","2002-01-01","2029-11-04","","","Youssef Hariri","Jean-Marc Poirier","Chantal Rossi","Philippe Thermidor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM17","LaSalle","Montréal","66023","55, avenue Dupras","LaSalle","55, avenue Dupras","LaSalle","H8R4A8","5143676000","5143676600","lasalle@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/lasalle","2002-01-01","2029-11-04","","","Richard Deschamps","Daniela Romano","Benoit Auger","Laura Palestini","Bisma Ansari","Josée Troilo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM19","Ville-Marie","Montréal","66023","800, boulevard De Maisonneuve E.","Montréal","800, boulevard De Maisonneuve E.","Montréal","H2L4L8","5148727791","5148725607","marc.labelle@montreal.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/villemarie","2002-01-01","2029-11-04","","","Leslie Roberts","Claude Pinard","Christopher Mccray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM20","Le Sud-Ouest","Montréal","66023","815, rue Bel-Air","Montréal","815, rue Bel-Air","Montréal","H4C2K4","5147657018","5148724583","le-sud-ouest@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/sud-ouest","2002-01-01","2029-11-04","","","Catherine Houbart","Jonathan Burnham","Élise Tanguay","Nicolas Jolicoeur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM21","Le Plateau-Mont-Royal","Montréal","66023","201, avenue Laurier E., Étage 5e","Montréal","201, avenue Laurier E., Étage 5e","Montréal","H2T3E6","5147657018","5148684074","le-plateau-mont-royal@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/plateau","2002-01-01","2029-11-04","","","Marie Plourde","Marie Sterlin","Maeva Vilain","Laurence Parent","Alex Norris","Gabriel Fortin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM22","Mercier--Hochelaga-Maisonneuve","Montréal","66023","6854, rue Sherbrooke E.","Montréal","6854, rue Sherbrooke E.","Montréal","H1N1E1","4388629107","0000000000","mhm_greffe-consultation@montreal.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","montreal.ca/mercier-hochelaga-maisonneuve","2002-01-01","2029-11-04","","","Julien Hénault-Ratelle","Alexandre Devaux-Guizani","Sarah V. Doyon","Alba Stella Zúniga Ramos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM23","Ahuntsic-Cartierville","Montréal","66023","555, rue Chabanel O., Bur. 600","Montréal","555, rue Chabanel O., Bur. 600","Montréal","H2N2H8","5147657018","5148683297","ahuntsic-cartierville@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/ahuntsic-cartierville","2002-01-01","2029-11-04","","","Carla Beauvais","Victor Esposito","Nathalie Goulet","Effie Giannou","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM24","Rosemont--La Petite-Patrie","Montréal","66023","5650, rue D'Iberville, Étage 2e","Montréal","5650, rue D'Iberville, Étage 2e","Montréal","H2G2B3","5148683566","5148683804","communications.rpp@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/rpp","2002-01-01","2029-11-04","","","Josefina Blanco","Ericka Alneus","Olivier Demers-Dubé","Jocelyn Pauzé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM25","Villeray--Saint-Michel--Parc-Extension","Montréal","66023","405, avenue Ogilvy, Bur. 200","Montréal","405, avenue Ogilvy, Bur. 200","Montréal","H3N1M3","5148729862","5148729872","ldeslauriers@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/vsp","2002-01-01","2029-11-04","","","Josué Corvil","Sylvain Ouellet","Martine Musau Muele","Elvira Carhuallanqui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM27","Lachine","Montréal","66023","1800, boulevard Saint-Joseph E.","Lachine","1800, boulevard Saint-Joseph E.","Lachine","H8S2N4","5146343471","5146343472","lachine@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","lachine.ville.montreal.qc.ca","2002-01-01","2029-11-04","","","Dominic Roussel","Nancy Berthelot","Ludovic Fermely","Jacques Filion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM31","Pierrefonds-Roxboro","Montréal","66023","13665, boulevard de Pierrefonds","Pierrefonds","13665, boulevard de Pierrefonds","Pierrefonds","H9A2Z4","5147657018","5146241300","pierrefonds-roxboro@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","ville.montreal.qc.ca/pierrefonds-roxboro","2006-01-01","2029-11-04","","","Benoit Langevin","Louise Leroux","Sophie Mohsen","Chahi (Sharkie) Tarakjian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM32","L'Île-Bizard--Sainte-Geneviève","Montréal","66023","350, montée de l'Église","L'Île-Bizard","350, montée de l'Église","L'Île-Bizard","H9C1G9","5146206448","5146208198","communications.ibsg@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","https://montreal.ca/lile-bizard-sainte-genevieve","2006-01-01","2029-11-04","","Poste vacant","Julie Forgues","Alain Wilson","Richard Bélanger","Christopher Little","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM33","Rivière-des-Prairies--Pointe-aux-Trembles","Montréal","66023","12090, rue Notre-Dame E.","Montréal","12090, rue Notre-Dame E.","Montréal","H1B2Z1","5148684349","5148684312","charles-herve.aka@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca","2006-01-01","2029-11-04","","","Diana Varela","Gerlando Guarragi","Gabrielle Rousseau-Bélanger","Marie-Claude Baril","Giovanni Rapana","Nathalie Pierre-Antoine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REM34","Côte-des-Neiges--Notre-Dame-de-Grâce","Montréal","66023","5160, boulevard Décarie (Montréal), Bur. 600","Montréal","5160, boulevard Décarie (Montréal), Bur. 600","Montréal","H3X2H9","5148684012","5148683572","cdnndg@ville.montreal.qc.ca","Montréal (06)","","non","Communauté métropolitaine de Montréal (663)","Montréalais, aise","www.ville.montreal.qc.ca/cdn-ndg","2006-01-01","2029-11-04","","","Milany Thiagarajah","Emilie Brière","Sonny Moroz","Peter Mcqueen","Alexandre Teodoresco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ01","La Cité-Limoilou","Québec","23027","399, rue Saint-Joseph E.","Québec","399, rue Saint-Joseph E.","Québec","G1K8E2","4186416101","4186416582","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2029-11-04","Suzanne Verreault","","Mélissa Coulombe-Leduc","Catherine Vallières-Roland","Elainie Lepage","Raymond Poirier","Marylou Boulianne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ02","Les Rivières","Québec","23027","330, rue Chabot","Québec","330, rue Chabot","Québec","G1M3J5","4186416002","4186476514","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2029-11-04","Dominique Tanguay","","Clément Bourdeau","Maxime Elmaleh","Catherine Deschamps","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ03","Sainte-Foy--Sillery--Cap-Rouge","Québec","23027","1130, route de l'Église","Québec","1130, route de l'Église","Québec","G1V4X6","4186416003","4186416558","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2029-11-04","Remy Normand","","Marianne White","Gabriel Dusablon","Jean-Luc Lavoie","Yannick Fauteux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ04","Charlesbourg","Québec","23027","160, 76e Rue E.","Québec","160, 76e Rue E.","Québec","G1H7H5","4186416401","4186416595","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2029-11-04","Vincent Dufresne","","Claude Lavoie","Marie-Pierre Boucher","Raphaël Lebailly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ05","Beauport","Québec","23027","10, rue Hugues-Pommier","Québec","10, rue Hugues-Pommier","Québec","G1E4T9","4186416005","4186416571","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2029-11-04","Melançon Stevens","","Mélanie Sauvé","Elisa Verreault","Éric Courtemanche Baril","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REQ06","La Haute-Saint-Charles","Québec","23027","3490, route de l'Aéroport","Québec","3490, route de l'Aéroport","Québec","G3K1X5","4186416007","4186416628","311@ville.quebec.qc.ca","Capitale-Nationale (03)","","non","Communauté métropolitaine de Québec (235)","Québécois, oise* ","www.ville.quebec.qc.ca","2002-01-01","2029-11-04","Raymond Dion","","Marc Roussin","Marie-Josée Asselin","Pascal Morneau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES01","Chicoutimi","Saguenay","94068","150, boulevard du Saguenay E.","Saguenay","C.P. 8060","Chicoutimi","G7H5B8","4186983355","4186983129","arrondissementdechicoutimi@ville.saguenay.qc.ca","Saguenay--Lac-Saint-Jean (02)","","non","","Saguenéen, enne*","www.ville.saguenay.qc.ca","2002-02-18","2029-11-04","Jacques Cleary","","Serge Gaudreault","Cathy Fortin","Michel Tremblay","Jacques Cleary","Joan Simard","May Gagnon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES02","Jonquière","Saguenay","94068","2354, rue Saint-Dominique","Saguenay","2354, rue Saint-Dominique C.P. 2000","Saguenay","G7X7W7","4186983356","4185462058","arrondissementdejonquiere@ville.saguenay.qc.ca","Saguenay--Lac-Saint-Jean (02)","","non","","Saguenéen, enne*","www.ville.saguenay.qc.ca","2002-02-18","2029-11-04","Carl Dufour","","Daniel Tremblay-Larouche","Claude Bouchard","Michel Thiffault","Alain Doré","Carl Dufour","Audrey Lapointe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RES03","La Baie","Saguenay","94068","422, rue Victoria","Saguenay","422, rue Victoria","Saguenay","G7B3M4","4186983357","4186975059","arrondissementdelabaie@ville.saguenay.qc.ca","Saguenay--Lac-Saint-Jean (02)","","non","","Saguenéen, enne*","www.ville.saguenay.qc.ca","2002-02-18","2029-11-04","Raynald Simard","","Raynald Simard","Renée Simard","François Fortin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
