id;Nom de lorganisation;Banniere;Adresse;Ville;Region;Tel;Fax;Dimanche1;Heure1ureDimanche;Heures1Dim;HeureOuverLundi;Heure1ureLundi;HeureFermetureLundi;Mardi1;Heure1ureMardi;HeureFermetureMardi;Mercredi1;Heure1ureMercredi;HeureFermetureMercredi;Jeudi1;Heure1ureJeudi;HeureFermetureJeudi;Vendredi1;Heure1ureVendredi;HeureFermetureVendredi;Samedi1;Heure1ureSamedi;HeureFermetureSamedi;DatMaj;Note
11;Marc Dontigny pharmacien Inc.;Uniprix;701 Boul Thibeau;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 784 549;18 193 785 983;1;09:00;18:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;09:00;18:00;;
12;Marc Dontigny pharmacien Inc.;Uniprix;4400 Côte Rosemont;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 378-0303;+1 819 378-3391;1;09:00;18:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;09:00;18:00;;
13;Marc Dontigny pharmacien Inc.;Uniprix;15 Rue Fusey;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 378-2828;+1 819 378-6370;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;0;0;;;
14;Marc Dontigny, Joane St-Arnaud, Véronique Leblanc, Pharmaciens, S.E.N.C.;Uniprix;2000 Boul Louis-Fréchette;Nicolet;Mauricie et Centre-du-Québec;+1 819 262-3334;+1 819 262-3004;1;10:00;17:00;1;08:30;18:00;1;08:30;18:00;1;08:30;20:00;1;08:30;20:00;1;08:30;20:00;1;09:00;17:00;;
15;Marie-Eve Larivée, pharmacienne inc.;Familiprix;1380 Rue Principale;Saint-Stanislas-de-Champlain;Mauricie et Centre-du-Québec;14 183 283 358;14 183 283 709;0;0;0;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;15:00;;
16;Marie-Eve Larivée, pharmacienne inc.;Familiprix;511 Rue Notre-Dame;Saint-Narcisse;Mauricie et Centre-du-Québec;14 183 288 403;14 183 283 131;0;0;0;1;08:30;17:30;1;08:30;17:30;1;08:30;17:30;1;08:30;17:30;1;08:30;19:00;1;09:00;15:00;;
17;Marie-Maude Carpentier pharmacienne (St-Alexis) inc.;Familiprix;60 Rue Notre-Dame;Saint-Alexis-Des-Monts;Mauricie et Centre-du-Québec;18 192 652 697;18 192 653 388;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;0;0;;;
18;Marie-Maude Carpentier pharmacienne (St-Paulin) inc.;Familiprix;2851 Rue Laflèche;Saint-Paulin;Mauricie et Centre-du-Québec;18 192 682 697;18 192 683 349;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;17:00;;
19;Marie-Michèle Benoit et Simon Boisselle pharmaciens inc.;Jean Coutu;4534 Boul Saint-Joseph;Drummondville;Mauricie et Centre-du-Québec;+1 819 472-7442;+1 819 472-4975;1;09:00;17:30;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;17:30;;
20;Marie-Pier Turgeon, Jean-François Gauthier et Alexandre Rivard, pharmaciens inc.;Jean Coutu;940 Boul Des Récollets;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 791 444;18 193 798 165;1;09:00;19:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;19:00;;
21;Mélanie Racette, pharmacienne inc.;Accès pharma / Walmart;300 Rue Barkoff;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 792 710;18 193 791 568;1;08:00;17:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;17:00;;
22;Milliard Louis, Pharmacien;Pharmaprix;2-1 Rue La Plaza-de-Mauricie;Shawinigan;Mauricie et Centre-du-Québec;+1 819 539-5416;+1 819 539-2749;1;08:30;17:30;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;21:00;1;08:00;21:00;1;08:30;17:30;;
23;Mylen Pellerin & Julien Bureau, pharmaciens Inc.;Uniprix;1920 105E Ave;Shawinigan;Mauricie et Centre-du-Québec;+1 819 537-1869;+1 819 537-3554;1;09:00;17:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;17:00;;
24;Nicolas Blanchette et Marilyne Blanchette, pharmaciens inc.;Uniprix;126 Rue Heriot;Drummondville;Mauricie et Centre-du-Québec;+1 819 472-1121;+1 819 472-1123;1;09:00;18:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;18:00;1;09:00;18:00;;
25;Nicolas Blanchette et Marilyne Blanchette, pharmaciens Inc.;Uniprix;246 Rue Heriot;Drummondville;Mauricie et Centre-du-Québec;+1 819 472-5417;+1 819 472-1123;0;0;0;1;09:00;15:00;1;09:00;15:00;1;09:00;15:00;1;09:00;15:00;1;10:00;15:00;0;0;;;
26;Pascale Arsenault pharmacienne inc.;Jean Coutu;300 Rue Barkoff;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 378-4829;+1 819 378-8878;1;09:00;18:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;18:00;;
27;Ph. I. Baril, I. Levasseur et J-S. Ricard, pharmaciens Inc.;Brunet;1123 Rue Sainte-Marguerite;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 757 353;18 193 757 354;1;10:00;17:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;09:00;17:00;;
28;Pharmacie Alexandre Beaudet et Philippe Guay Inc.;Familiprix;1825 Boul Bécancour;Bécancour;Mauricie et Centre-du-Québec;+1 819 298-2215;+1 819 298-2135;0;0;0;1;09:30;18:00;1;09:30;18:00;1;09:30;18:00;1;09:30;20:00;1;09:30;18:00;0;0;;;
29;Pharmacie Andrée-Anne Gobeil (Ste-Anne) inc.;Brunet;391 Boul De Lanaudière;Sainte-Anne-de-la-Pérade;Mauricie et Centre-du-Québec;+1 418 325-2332;+1 418 325-3142;1;10:00;16:00;1;09:00;18:00;1;09:00;18:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;16:00;;
30;Pharmacie Anne-Julie Boucher et Vincent Vandal S.E.N.C.;Familiprix;6515 Rue Des Alpes;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 841-3666;+1 819 840-5440;1;09:00;17:00;1;09:00;19:00;1;09:00;19:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
31;Pharmacie Annie Desjardins inc.;Jean Coutu;765 Av De Grand-Mère;Shawinigan;Mauricie et Centre-du-Québec;+1 581 998-5432;+1 819 538-4699;1;10:00;17:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
32;Pharmacie Bat Lan Phung et Yulia Zilber inc.;Jean Coutu;516 Rue Commerciale;La Tuque;Mauricie et Centre-du-Québec;18 195 234 501;18 195 233 688;1;09:00;17:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
33;Pharmacie Camille Garceau inc.;Proxim;1330 Av De Grand-Mère;Shawinigan;Mauricie et Centre-du-Québec;+1 819 538-2767;+1 819 538-3649;0;0;0;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
34;Pharmacie Catherine Dallaire, Marie-Pierre Girouard, Nicolas Pun, Annabelle Giroux et Philippe Drouin (Drummondville) inc.;Uniprix;511 Rue Heriot;Drummondville;Mauricie et Centre-du-Québec;18 194 787 778;18 194 784 945;0;0;0;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;;
35;Pharmacie Catherine Montminy et Jean-Patrick Sylvain inc.;Familiprix;5 Rue Du Centre-Sportif;Warwick;Mauricie et Centre-du-Québec;18 193 584 650;18 193 584 669;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;10:00;16:00;;
36;Pharmacie Chantale Gaboury, Pharmacienne Inc.;Familiprix;147 Boul Est;Maskinongé;Mauricie et Centre-du-Québec;18 192 272 288;18 192 272 721;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;17:00;;
37;Pharmacie Charles Lemire-Dubuc et Marie-Josée Tremblay inc.;Familiprix;887 Rte Marie-Victorin;Deschaillons-Sur-Saint-Laurent;Mauricie et Centre-du-Québec;+1 819 292-3313;+1 819 292-3262;0;0;0;1;09:30;18:00;1;09:30;18:00;1;09:30;18:00;1;09:30;20:00;1;09:30;18:00;1;09:30;14:00;;
38;Pharmacie Charles Martel & Marie-France Fortin inc;Familiprix;515 Rue Commerciale;La Tuque;Mauricie et Centre-du-Québec;18 195 237 626;18 195 237 627;1;10:00;15:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
39;Pharmacie Charles-Émile Lafrenière, Marie-Pierre Girouard, Annabelle Giroux et Philippe Drouin (Grand-Mère) inc.;Uniprix;103-1050 8E Rue;Shawinigan;Mauricie et Centre-du-Québec;+1 819 538-1655;+1 819 538-4242;1;10:00;17:00;1;08:30;20:30;1;08:30;20:30;1;08:30;20:30;1;08:30;20:30;1;08:30;20:30;1;09:00;17:00;;
40;Pharmacie Christine Béland Inc.;Familiprix;131 Rue Lacordaire;Sainte-Thècle;Mauricie et Centre-du-Québec;14 182 893 069;14 182 893 632;0;0;0;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
41;Pharmacie Cynthia Vallée Dupont et Malorie Lambert inc.;Proxim;120-700 Boul Thibeau;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 372-3010;+1 819 372-5130;0;0;0;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;09:00;16:00;;
42;Pharmacie Daniel Benoît et Louis-Carl Benoit pharmaciens inc.;Jean Coutu;1400 Boul Lemire;Drummondville;Mauricie et Centre-du-Québec;18 194 775 871;18 198 501 535;1;09:00;17:30;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;17:30;;
43;Pharmacie Daniel Benoit, Stéphanie Benoit et Jade Pinard inc.;Jean Coutu;350 Boul Saint-Joseph;Drummondville;Mauricie et Centre-du-Québec;+1 819 472-3003;+1 819 850-2087;1;09:00;18:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;18:00;;
44;Pharmacie Daniel Deschênes (Les Grès) inc.;Familiprix;120-190 Rue Saint-Honoré;Saint-Étienne-Des-Grès;Mauricie et Centre-du-Québec;18 195 356 500;18 195 356 511;0;0;0;1;08:30;20:00;1;08:30;20:00;1;08:30;20:00;1;08:30;20:00;1;08:30;20:00;1;09:00;17:00;;
45;Pharmacie Daniel Vermette, Jérôme Champagne-Parent et Roxanne Boisvert inc.;Familiprix;776 Boul Du Saint-Maurice;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 374-6284;+1 819 374-5693;1;10:00;16:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
46;Pharmacie Elise Barrette Inc.;Familiprix;730 Rue Laurier;Lyster;Mauricie et Centre-du-Québec;18 193 895 333;18 193 895 330;0;0;0;1;09:00;20:00;1;09:00;17:00;1;09:00;17:00;1;09:00;17:00;1;09:00;17:00;0;0;;;
47;Pharmacie Élysabeth Lemire inc.;Familiprix;900 7E Ave;Shawinigan;Mauricie et Centre-du-Québec;+1 819 538-3311;+1 819 538-7414;1;10:00;17:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;17:00;;
48;Pharmacie Ève Provencher et Jean-Sébastien Cardinal inc.;Proxim;184 Rue Grenier;Laurierville;Mauricie et Centre-du-Québec;18 193 659 995;18 193 659 996;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;20:00;1;09:00;18:00;0;0;;;
49;Pharmacie Frédéric Dupéré et Andrée Gélinas Inc.;Familiprix;2747 Boul Thibeau;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 780 627;18 193 786 422;1;10:00;16:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;16:00;;
50;Pharmacie Gilles Fleury, Anne Boutin et Alexandra Gauthier inc.;Brunet;4-1971 Rue Bilodeau;Plessisville;Mauricie et Centre-du-Québec;+1 819 362-3257;+1 819 362-3616;1;10:00;16:00;1;09:00;18:00;1;09:00;18:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;16:00;;
51;Pharmacie Grégoire Arakelian (Drummondville) inc.;Costco;105 Rue Robert-Bernard;Drummondville;Mauricie et Centre-du-Québec;+1 819 473-7577;+1 819 473-7578;1;09:00;18:00;1;09:00;20:30;1;09:00;20:30;1;09:00;20:30;1;09:00;20:30;1;09:00;20:30;1;09:00;18:00;;
52;Pharmacie Grégoire Arakelian (Trois-Rivières) inc.;Costco;3000 Boul Des Récollets;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 693-4199;+1 819 693-7847;1;09:00;18:00;1;09:00;20:30;1;09:00;20:30;1;09:00;20:30;1;09:00;20:30;1;09:00;20:30;1;09:00;18:00;;
53;Pharmacie Hoang Nghi Nguyen inc.;Uniprix;7 Rue De l'Aqueduc;Victoriaville;Mauricie et Centre-du-Québec;+1 819 604-7744;+1 819 604-7644;1;09:00;18:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;18:00;;
54;Pharmacie Jacinthe Baril, Joanie Boisvert et Olivier Turcotte inc.;Familiprix;451 Av Godefroy;Bécancour;Mauricie et Centre-du-Québec;18 196 060 106;18 196 060 109;1;10:00;16:00;1;08:30;19:00;1;08:30;19:00;1;08:30;20:00;1;08:30;20:00;1;08:30;19:00;1;09:00;17:00;;
55;Pharmacie Jacinthe Baril, Joanie Boisvert et Olivier Turcotte inc.;Familiprix;100-4825 Av Bouvet;Bécancour;Mauricie et Centre-du-Québec;18 192 333 230;18 192 334 199;0;0;0;1;08:30;19:00;1;08:30;19:00;1;08:30;20:00;1;08:30;20:00;1;08:30;19:00;1;09:00;16:00;;
56;Pharmacie Jacinthe Montminy, Inc.;Familiprix;10 Rue Georges;Pierreville;Mauricie et Centre-du-Québec;14 505 682 123;14 505 680 568;1;10:00;14:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;16:00;;
57;Pharmacie Jasmine Côté et Fanny De Serres inc.;Jean Coutu;1693 Boul Louis-Fréchette;Nicolet;Mauricie et Centre-du-Québec;18 192 936 111;18 192 932 688;1;09:00;17:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
58;Pharmacie Jean-François Leclerc (Kingsey Falls) inc.;Proxim;21 Rue Comeau;Kingsey Falls;Mauricie et Centre-du-Québec;+1 819 363-3000;+1 819 363-3003;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;0;0;;;
59;Pharmacie Jean-François Leclerc et Marie-Christine Boisvert inc.;Proxim;1532 Rue Saint-Calixte;Plessisville;Mauricie et Centre-du-Québec;18 193 627 321;18 193 626 933;0;0;0;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;16:00;;
60;Pharmacie Jean-Philippe Déry, Joanie H. Landry et Stéphanie Perron (de la Pointe) inc.;Jean Coutu;542 5E Rue De La Pointe;Shawinigan;Mauricie et Centre-du-Québec;+1 819 536-5624;+1 819 536-2246;0;0;0;1;09:00;17:00;1;09:00;17:00;1;09:00;17:00;1;09:00;17:00;1;09:00;17:00;0;0;;;
61;Pharmacie Jean-Philippe Déry, Joanie H. Landry et Stéphanie Perron inc.;Jean Coutu;2722 Boul Royal;Shawinigan;Mauricie et Centre-du-Québec;18 195 391 119;18 195 396 839;1;08:30;18:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;18:00;;
62;Pharmacie Jean-Philippe Déry, Joanie H. Landry et Stéphanie Perron inc.;Jean Coutu;200-2355 105E Ave;Shawinigan;Mauricie et Centre-du-Québec;18 195 377 261;18 195 370 319;1;09:00;17:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;17:00;;
63;Pharmacie Jean-Samuel Poisson et Claude Tourigny-Gauvin inc.;Familiprix;107-400 Rue Rose-Ellis;Drummondville;Mauricie et Centre-du-Québec;+1 819 870-2265;+1 819 803-2035;0;0;0;1;10:00;15:30;1;13:00;17:00;1;13:00;17:00;1;13:00;17:00;1;13:00;17:00;0;0;;;
64;Pharmacie Jean-Samuel Poisson et Claude Tourigny-Gauvin inc.;Familiprix;832 Rue Principale;Wickham;Mauricie et Centre-du-Québec;18 197 410 080;18 197 410 082;0;0;0;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;10:00;16:00;;
65;Pharmacie Jean-Sébastien Blais et Alexandre Soucy (Shawinigan) Inc.;Proxim;1530 Rue Trudel;Shawinigan;Mauricie et Centre-du-Québec;+1 819 539-5476;+1 819 539-6367;0;0;0;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
66;Pharmacie Jean-Sébastien Blais et Alexandre Soucy Inc.;Proxim;3430 Rte 157;Notre-Dame-Du-Mont-Carmel;Mauricie et Centre-du-Québec;+1 819 840-2419;+1 819 840-2519;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
67;Pharmacie Jean-Sébastien Blais, Joanie Lebreux et Guillaume Latulippe inc.;Proxim;264 Ch Yamaska;Saint-Germain-de-Grantham;Mauricie et Centre-du-Québec;18 193 954 455;18 193 955 448;0;0;0;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;18:00;1;09:00;16:00;;
68;Pharmacie Jean-Sébastien Cardinal inc.;Proxim;580 Rue De La Station;Saint-Léonard-d'Aston;Mauricie et Centre-du-Québec;18 193 992 701;18 193 992 626;0;0;0;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
69;Pharmacie Jessica Riera;Pharmaprix;400 Boul Saint-Joseph;Drummondville;Mauricie et Centre-du-Québec;+1 819 473-8555;+1 819 473-8559;1;09:00;21:00;1;09:00;22:00;1;09:00;22:00;1;09:00;22:00;1;09:00;22:00;1;09:00;22:00;1;09:00;21:00;;
70;Pharmacie Jessica Riera;Pharmaprix;1860 Boul Saint-Joseph;Drummondville;Mauricie et Centre-du-Québec;+1 819 472-6666;+1 819 477-3107;1;08:00;0;1;08:00;;1;08:00;;1;08:00;;1;08:00;;1;08:00;;1;08:00;;;
71;Pharmacie Josianne Vigneault Inc.;Jean Coutu;1717 Rue Saint-Calixte;Plessisville;Mauricie et Centre-du-Québec;18 193 623 255;18 193 626 758;1;10:00;17:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;17:00;;
72;Pharmacie Julie Bourassa;Accès pharma / Walmart;110 Boul Arthabaska O;Victoriaville;Mauricie et Centre-du-Québec;+1 819 758-5727;+1 819 758-6335;1;08:00;17:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;17:00;;
73;Pharmacie Karine Deschambault et Éric Benoit inc.;Jean Coutu;5705 Boul Des Forges;Trois-Rivières;Mauricie et Centre-du-Québec;+1 819 370-6022;+1 819 370-6619;1;09:00;18:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;08:30;21:00;1;09:00;18:00;;
74;Pharmacie Karine Tremblay et Maria-Kim Turcotte inc.;Brunet;4565 Boul Saint-Joseph;Drummondville;Mauricie et Centre-du-Québec;18 194 751 332;18 194 751 334;1;10:00;16:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;20:00;1;09:00;17:00;;
75;Pharmacie Kathryn Ross Bell, Annabelle Giroux et Philippe Drouin inc.;Uniprix;101-3525 Boul Saint-Joseph;Drummondville;Mauricie et Centre-du-Québec;18 198 500 568;18 198 500 675;1;09:00;17:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;08:00;20:00;1;09:00;17:00;;
76;Pharmacie Linda Beaulieu inc.;Brunet;3745 Rue Georges-Couture;Drummondville;Mauricie et Centre-du-Québec;+1 819 477-4111;+1 819 477-9774;1;09:00;17:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;08:00;21:00;1;09:00;17:00;;
77;Pharmacie M. Massicotte et L. Trudel;Pharmaprix;810 Boul Thibeau;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 748 119;18 193 746 509;1;09:00;19:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;19:00;;
78;Pharmacie M. Massicotte et L. Trudel;Pharmaprix;5550 Boul Jean-Xxiii;Trois-Rivières;Mauricie et Centre-du-Québec;18 193 752 934;18 193 754 905;1;09:00;19:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;21:00;1;09:00;19:00;;
79;Pharmacie Mac Pherson Anacreon, Andy Quang Ngo et Sébastien Sam Yue Chi, pharmaciens inc.;Familiprix;405 Rue Principale;Saint-Léonard-d'Aston;Mauricie et Centre-du-Québec;18 193 992 020;18 193 992 420;0;0;0;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;19:00;1;09:00;16:00;;
80;Pharmacie Mac Pherson Anacreon, Andy Quang Ngo et Sébastien Sam Yue Chi, pharmaciens inc.;Familiprix;1120 Rue Principale;Saint-Wenceslas;Mauricie et Centre-du-Québec;18 195 262 021;18 195 262 024;0;0;0;1;10:00;18:00;1;10:00;18:00;1;10:00;18:00;1;10:00;18:00;1;10:00;18:00;0;0;;;
81;Pharmacie Marc-André Dorais, Laurie Dubuc, Annabelle Giroux et Philippe Drouin inc.;Uniprix;275 Rue Cockburn;Drummondville;Mauricie et Centre-du-Québec;+1 819 478-7778;+1 819 477-4945;0;0;0;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;;
82;Pharmacie Marc-André Dorais, Laurie Dubuc, Annabelle Giroux et Philippe Drouin inc.;Uniprix;1450 Rue Hébert;Drummondville;Mauricie et Centre-du-Québec;+1 819 850-2300;+1 819 850-2301;0;0;0;0;0;;0;0;;0;0;;0;0;;0;0;;0;0;;;
